date,venue,name,winner,cat
"26 February - 2 March, 2024","Acapulco, Mexico",Abierto Mexicano Telcel presentado por HSBC,Alex de Minaur,ATP 500
"26 February - 3 March, 2024","Santiago, Chile",Movistar Chile Open,Sebastian Baez,ATP 250
"6 - 17 March, 2024","Indian Wells, United States",BNP Paribas Open,Carlos Alcaraz,ATP 1000
"20 - 31 March, 2024","Miami, United States",Miami Open presented by Itau,N/A,ATP 1000
"1 - 7 April, 2024","Houston, United States",Fayez Sarofim & Co. U.S. Men's Clay Court Championship,N/A,ATP 250
"1 - 7 April, 2024","Marrakech, Morocco",Grand Prix Hassan II,N/A,ATP 250
"1 - 7 April, 2024","Estoril, Portugal",Millennium Estoril Open,N/A,ATP 250
"7 - 14 April, 2024","Monte-Carlo, Monaco",Rolex Monte-Carlo Masters,N/A,ATP 1000
"15 - 21 April, 2024","Barcelona, Spain",Barcelona Open Banc Sabadell,N/A,ATP 500
"15 - 21 April, 2024","Munich, Germany",BMW Open,N/A,ATP 250
"15 - 21 April, 2024","Bucharest, Romania",Tiriac Open,N/A,ATP 250
"24 April - 5 May, 2024","Madrid, Spain",Mutua Madrid Open,N/A,ATP 1000
"8 - 19 May, 2024","Rome, Italy",Internazionali BNL d'Italia,N/A,ATP 1000
"19 - 25 May, 2024","Geneva, Switzerland",Gonet Geneva Open,N/A,ATP 250
"19 - 25 May, 2024","Lyon, France",Open Parc Auvergne-Rhone-Alpes Lyon,N/A,ATP 250
"26 May - 9 June, 2024","Paris, France",Roland Garros,N/A,Grand Slam
"10 - 16 June, 2024","Stuttgart, Germany",BOSS OPEN,N/A,ATP 250
"10 - 16 June, 2024","'s-Hertogenbosch, Netherlands",Libema Open,N/A,ATP 250
"17 - 23 June, 2024","London, Great Britain",Cinch Championships,N/A,ATP 500
"17 - 23 June, 2024","Halle, Germany",Terra Wortmann Open,N/A,ATP 500
"23 - 29 June, 2024","Mallorca, Spain",Mallorca Championships,N/A,ATP 250
"24 - 29 June, 2024","Eastbourne, Great Britain",Rothesay International,N/A,ATP 250
"1 - 14 July, 2024","London, Great Britain",Wimbledon,N/A,Grand Slam
"15 - 21 July, 2024","Hamburg, Germany",Hamburg Open,N/A,ATP 500
"15 - 21 July, 2024","Newport, United States",Infosys Hall of Fame Open,N/A,ATP 250
"15 - 21 July, 2024","Gstaad, Switzerland",EFG Swiss Open Gstaad,N/A,ATP 250
"15 - 21 July, 2024","Bastad, Sweden",Nordea Open,N/A,ATP 250
"21 - 27 July, 2024","Kitzbuhel, Austria",Generali Open,N/A,ATP 250
"21 - 27 July, 2024","Umag, Croatia",Plava Laguna Croatia Open Umag,N/A,ATP 250
"22 - 28 July, 2024","Atlanta, United States",Atlanta Open,N/A,ATP 250
"29 July - 4 August, 2024","Washington, United States",Mubadala Citi DC Open,N/A,ATP 500
"6 - 12 August, 2024","Montreal, Canada",National Bank Open Presented by Rogers,N/A,ATP 1000
"12 - 19 August, 2024","Cincinnati, United States",Cincinnati Open,N/A,ATP 1000
"18 - 24 August, 2024","Winson-Salem, United States",Winston-Salem Open,N/A,ATP 250
"26 August - 8 September, 2024","New York, United States",US Open,N/A,Grand Slam
"10 - 15 September, 2024","Multiple Locations,",Davis Cup Finals Group Stage,N/A,Davis Cup
"18 - 24 September, 2024","Chengdu, China",Chengdu Open,N/A,ATP 250
"18 - 24 September, 2024","Zhuhai, China",Huafa Properties Zhuhai Championships,N/A,ATP 250
"20 - 22 September, 2024","Berlin, Germany",Laver Cup,N/A,Laver Cup
"25 September - 1 October, 2024","Tokyo, Japan",Kinoshita Group Japan Open Tennis Championships,N/A,ATP 500
"26 September - 2 October, 2024","Beijing, China",China Open,N/A,ATP 500
"2 - 13 October, 2024","Shanghai, China",Rolex Shanghai Masters,N/A,ATP 1000
"14 - 20 October, 2024","Almaty, Kazakhstan",Almaty Open,N/A,ATP 250
"14 - 20 October, 2024","Stockholm, Sweden",BNP Paribas Nordic Open,N/A,ATP 250
"14 - 20 October, 2024","Antwerp, Belgium",European Open,N/A,ATP 250
"21 - 27 October, 2024","Vienna, Austria",Erste Bank Open,N/A,ATP 500
"21 - 27 October, 2024","Basel, Switzerland",Swiss Indoors Basel,N/A,ATP 500
"28 October - 3 November, 2024","Paris, France",Rolex Paris Masters,N/A,ATP 1000
"3 - 9 November, 2024","Metz, France",Moselle Open,N/A,ATP 250
"3 - 9 November, 2024","Gijon, Spain",Watergen Gijon Open,N/A,ATP 250
"10 - 17 November, 2024","Turin, Italy",Nitto ATP Finals,N/A,ATP Finals
"19 - 24 November, 2024","Malaga, Spain",Davis Cup Finals,N/A,Davis Cup
"18 - 22 December, 2024","Jeddah, Saudi Arabia",Next Gen ATP Finals presented by PIF,N/A,nextgen
