id,date,venue,name,winner,cat,coords
24,"1 - 7 April, 2024","Marrakech, Morocco",Grand Prix Hassan II,,ATP 250,"(31.6258257, -7.9891608)"
25,"1 - 7 April, 2024","Estoril, Portugal",Millennium Estoril Open,,ATP 250,"(38.70957065, -9.390136815849147)"
26,"7 - 14 April, 2024","Monte-Carlo, Monaco",Rolex Monte-Carlo Masters,,ATP 1000,"(43.7402961, 7.426559)"
27,"15 - 21 April, 2024","Barcelona, Spain",Barcelona Open Banc Sabadell,,ATP 500,"(41.3828939, 2.1774322)"
28,"15 - 21 April, 2024","Munich, Germany",BMW Open,,ATP 250,"(48.1371079, 11.5753822)"
29,"15 - 21 April, 2024","Bucharest, Romania",Tiriac Open,,ATP 250,"(44.4361414, 26.1027202)"
30,"24 April - 5 May, 2024","Madrid, Spain",Mutua Madrid Open,,ATP 1000,"(40.4167047, -3.7035825)"
31,"8 - 19 May, 2024","Rome, Italy",Internazionali BNL d'Italia,,ATP 1000,"(41.8933203, 12.4829321)"
32,"19 - 25 May, 2024","Geneva, Switzerland",Gonet Geneva Open,,ATP 250,"(46.2047169, 6.1423106290939335)"
33,"19 - 25 May, 2024","Lyon, France",Open Parc Auvergne-Rhone-Alpes Lyon,,ATP 250,"(45.7578137, 4.8320114)"
34,"26 May - 9 June, 2024","Paris, France",Roland Garros,,Grand Slam,"(48.8534951, 2.3483915)"
35,"10 - 16 June, 2024","Stuttgart, Germany",BOSS OPEN,,ATP 250,"(48.7784485, 9.1800132)"
36,"10 - 16 June, 2024","'s-Hertogenbosch, Netherlands",Libema Open,,ATP 250,"(51.6889387, 5.303116)"
37,"17 - 23 June, 2024","London, Great Britain",Cinch Championships,,ATP 500,"(51.52378255, -0.1399490000000005)"
38,"17 - 23 June, 2024","Halle, Germany",Terra Wortmann Open,,ATP 500,"(51.4825041, 11.9705452)"
39,"23 - 29 June, 2024","Mallorca, Spain",Mallorca Championships,,ATP 250,"(39.613432, 2.8829184529439633)"
40,"24 - 29 June, 2024","Eastbourne, Great Britain",Rothesay International,,ATP 250,"(None, None)"
41,"1 - 14 July, 2024","London, Great Britain",Wimbledon,,Grand Slam,"(51.52378255, -0.1399490000000005)"
42,"15 - 21 July, 2024","Hamburg, Germany",Hamburg Open,,ATP 500,"(53.550341, 10.000654)"
43,"15 - 21 July, 2024","Newport, United States",Infosys Hall of Fame Open,,ATP 250,"(41.4899827, -71.3137707)"
44,"15 - 21 July, 2024","Gstaad, Switzerland",EFG Swiss Open Gstaad,,ATP 250,"(46.4761004, 7.2873587)"
45,"15 - 21 July, 2024","Bastad, Sweden",Nordea Open,,ATP 250,"(56.4267895, 12.8607151)"
46,"21 - 27 July, 2024","Kitzbuhel, Austria",Generali Open,,ATP 250,"(47.4463585, 12.3911473)"
47,"21 - 27 July, 2024","Umag, Croatia",Plava Laguna Croatia Open Umag,,ATP 250,"(45.4323587, 13.5224098)"
48,"22 - 28 July, 2024","Atlanta, United States",Atlanta Open,,ATP 250,"(33.7489924, -84.3902644)"
49,"29 July - 4 August, 2024","Washington, United States",Mubadala Citi DC Open,,ATP 500,"(38.8950368, -77.0365427)"
50,"6 - 12 August, 2024","Montreal, Canada",National Bank Open Presented by Rogers,,ATP 1000,"(45.5031824, -73.5698065)"
51,"12 - 19 August, 2024","Cincinnati, United States",Cincinnati Open,,ATP 1000,"(39.1014537, -84.5124602)"
52,"18 - 24 August, 2024","Winson-Salem, United States",Winston-Salem Open,,ATP 250,"(None, None)"
53,"26 August - 8 September, 2024","New York, United States",US Open,,Grand Slam,"(40.7127281, -74.0060152)"
54,"10 - 15 September, 2024","Multiple Locations,",Davis Cup Finals Group Stage,,Davis Cup,"(None, None)"
55,"18 - 24 September, 2024","Chengdu, China",Chengdu Open,,ATP 250,"(30.7001324, 104.0708278)"
56,"18 - 24 September, 2024","Zhuhai, China",Huafa Properties Zhuhai Championships,,ATP 250,"(22.273734, 113.5721327)"
57,"20 - 22 September, 2024","Berlin, Germany",Laver Cup,,Laver Cup,"(52.5170365, 13.3888599)"
58,"25 September - 1 October, 2024","Tokyo, Japan",Kinoshita Group Japan Open Tennis Championships,,ATP 500,"(35.6821936, 139.762221)"
59,"26 September - 2 October, 2024","Beijing, China",China Open,,ATP 500,"(39.9057136, 116.3912972)"
60,"2 - 13 October, 2024","Shanghai, China",Rolex Shanghai Masters,,ATP 1000,"(31.2312707, 121.4700152)"
61,"14 - 20 October, 2024","Almaty, Kazakhstan",Almaty Open,,ATP 250,"(43.2363924, 76.9457275)"
62,"14 - 20 October, 2024","Stockholm, Sweden",BNP Paribas Nordic Open,,ATP 250,"(59.3251172, 18.0710935)"
63,"14 - 20 October, 2024","Antwerp, Belgium",European Open,,ATP 250,"(51.2211097, 4.3997081)"
64,"21 - 27 October, 2024","Vienna, Austria",Erste Bank Open,,ATP 500,"(48.2083537, 16.3725042)"
65,"21 - 27 October, 2024","Basel, Switzerland",Swiss Indoors Basel,,ATP 500,"(47.5581077, 7.5878261)"
66,"28 October - 3 November, 2024","Paris, France",Rolex Paris Masters,,ATP 1000,"(48.8534951, 2.3483915)"
67,"3 - 9 November, 2024","Metz, France",Moselle Open,,ATP 250,"(49.1196964, 6.1763552)"
68,"3 - 9 November, 2024","Gijon, Spain",Watergen Gijon Open,,ATP 250,"(43.5449422, -5.66275)"
69,"10 - 17 November, 2024","Turin, Italy",Nitto ATP Finals,,ATP Finals,"(45.0677551, 7.6824892)"
70,"19 - 24 November, 2024","Malaga, Spain",Davis Cup Finals,,Davis Cup,"(36.7213028, -4.4216366)"
71,"18 - 22 December, 2024","Jeddah, Saudi Arabia",Next Gen ATP Finals presented by PIF,,nextgen,"(21.5810088, 39.1653612)"
